"fasta","scaffold","gene_position","start_position","end_position","strandedness","rank","kegg_id","kegg_hit","peptidase_bitScore","pfam_hits","cazy_hits","classification","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references(genome_id,species_name,radius,ANI,AF)","msa_percent","translation_table","red_value","warnings"
"JW017.metabat.18","NODE_1042_length_9210_cov_20.237575",8,5234,6040,-1,"C","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA,"Pyrroline-5-carboxylate reductase dimerisation [PF14748.8]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Intrasporangium_A;s__","GCF_000576575.1","95.0","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Intrasporangium_A;s__Intrasporangium_A chromatireducens","86.28","0.66","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Intrasporangium_A;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",47.08,11,0.961529844231008,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW017.metabat.19","NODE_148_length_25033_cov_7.378133",12,10960,11787,-1,"C","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA,"Pyrroline-5-carboxylate reductase dimerisation [PF14748.8]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]; NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.17]; NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus [PF01210.25]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__;s__","GCA_002748415.1","95.0","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__GCA-002748415;s__GCA-002748415 sp002748415","76.67","0.12","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",36.34,11,0.713390922598975,"N/A"
"JW017.metabat.6","NODE_1054_length_9139_cov_3.859863",5,4019,4849,-1,"C","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA,"Pyrroline-5-carboxylate reductase dimerisation [PF14748.8]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]",NA,"d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Chloroflexota;c__UBA5177;o__UBA5177;f__UBA5177;g__;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",46.41,11,0.766012430404533,"N/A"
"JW018.maxbin.004","NODE_260_length_20509_cov_6.423145",7,10145,10963,-1,"C","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA,"Pyrroline-5-carboxylate reductase dimerisation [PF14748.8]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]",NA,"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__FACHB-SPT15;s__","GCF_014849525.1","95.0","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__FACHB-SPT15;s__FACHB-SPT15 sp014849525","79.23","0.4","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__FACHB-SPT15;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",69.74,11,0.888709120378418,"N/A"
"JW018.metabat.13","NODE_56_length_40537_cov_15.824317",10,6603,7427,-1,"C","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA,"Pyrroline-5-carboxylate reductase dimerisation [PF14748.8]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]; Ketopantoate reductase PanE/ApbA [PF02558.18]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_019247245.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp019247245","84.67","0.6","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 78.0, 0.25; GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 77.41, 0.27; GCA_902806065.1, s__SCSIO-52915 sp902806065, 95.0, 77.36, 0.27; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 77.35, 0.24; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 77.35, 0.18; GCA_902806055.1, s__SCSIO-52915 sp902806055, 95.0, 77.24, 0.23; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 77.22, 0.17; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 77.06, 0.19; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 76.55, 0.15",87.53,11,0.95847028089405,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW018.metabat.7","NODE_875_length_8981_cov_12.062178",5,1885,2610,-1,"C","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA,"Pyrroline-5-carboxylate reductase dimerisation [PF14748.8]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","ANI","classification based on placement in class-level tree","GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 78.44, 0.34; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 78.41, 0.33; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 78.34, 0.35; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 78.23, 0.32; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 78.2, 0.29; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 78.14, 0.27; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 78.06, 0.32; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 78.05, 0.3; GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 78.03, 0.29; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 77.93, 0.25; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.92, 0.28; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.86, 0.31; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.84, 0.33; GCA_019247075.1, s__Palsa-465 sp019247075, 95.0, 77.58, 0.23; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 77.38, 0.19; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 77.08, 0.22; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.97, 0.14; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.9, 0.2",53.87,11,0.918913532658843,"N/A"
"JW022.metabat.5","NODE_425_length_9658_cov_13.375716",6,4678,5514,1,"C","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA,"Pyrroline-5-carboxylate reductase dimerisation [PF14748.8]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]; NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.17]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__","taxonomic classification fully defined by topology","classification based on placement in class-level tree","N/A",57.78,11,0.875951773805783,"N/A"
"JW022.metabat.9","NODE_1238_length_6140_cov_8.346261",3,1690,2499,-1,"C","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA,"Pyrroline-5-carboxylate reductase dimerisation [PF14748.8]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]",NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__","GCA_003151425.1","95.0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__Palsa-883 sp003151425","77.93","0.42","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",50.18,11,0.908651451397136,"N/A"
"JW023.metabat.4","NODE_968_length_2774_cov_5.118794",2,204,1007,1,"C","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA,"Pyrroline-5-carboxylate reductase dimerisation [PF14748.8]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]; NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.17]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__JABFXA01;s__","GCF_019039255.1","95.0","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__JABFXA01;s__JABFXA01 sp019039255","80.96","0.62","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__JABFXA01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_013361955.1, s__JABFXA01 sp013361955, 95.0, 80.52, 0.54",34.47,11,0.913198774040212,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW025.metabat.2","NODE_1_length_67057_cov_14.329169",40,38792,39577,1,"C","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA,"Pyrroline-5-carboxylate reductase dimerisation [PF14748.8]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]; NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.17]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_902806055.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp902806055","87.72","0.75","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 84.04, 0.58; GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 83.74, 0.56; GCA_902806065.1, s__SCSIO-52915 sp902806065, 95.0, 78.65, 0.46; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 78.25, 0.38; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 78.09, 0.27; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 78.03, 0.32; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 77.86, 0.32; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 77.72, 0.23; GCA_019247245.1, s__SCSIO-52915 sp019247245, 95.0, 76.78, 0.14",82.84,11,0.983825032292485,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW026.metabat.4","NODE_1_length_77608_cov_10.313979",42,38791,39576,1,"C","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA,"Pyrroline-5-carboxylate reductase dimerisation [PF14748.8]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]; NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.17]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_902806055.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp902806055","87.55","0.76","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 83.97, 0.6; GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 83.83, 0.57; GCA_902806065.1, s__SCSIO-52915 sp902806065, 95.0, 78.38, 0.44; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 78.23, 0.38; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 78.12, 0.27; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 78.07, 0.32; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 77.94, 0.31; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 77.6, 0.23; GCA_019247245.1, s__SCSIO-52915 sp019247245, 95.0, 76.66, 0.14",82.66,11,0.983718422076776,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW027.maxbin.001","NODE_3_length_43933_cov_15.468891",35,33205,33990,1,"C","K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2]",NA,"Pyrroline-5-carboxylate reductase dimerisation [PF14748.8]; NADP oxidoreductase coenzyme F420-dependent [PF03807.19]; NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.17]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_902806055.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp902806055","87.65","0.8","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 84.19, 0.55; GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 83.94, 0.58; GCA_902806065.1, s__SCSIO-52915 sp902806065, 95.0, 78.52, 0.47; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 78.04, 0.42; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 77.99, 0.36; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 77.98, 0.29; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 77.86, 0.33; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 77.61, 0.24; GCA_019247245.1, s__SCSIO-52915 sp019247245, 95.0, 76.84, 0.14",69.88,11,0.983638795842695,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
