"fasta","gene_position","start_position","end_position","strandedness","rank","kegg_id","kegg_hit","peptidase_bitScore","pfam_hits","cazy_hits","classification","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references(genome_id,species_name,radius,ANI,AF)","msa_percent","translation_table","red_value","warnings"
"JW031.metabat.14",7,5806,10392,-1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",565,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JW031.metabat.21",1,2,4591,-1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",473,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__","taxonomic classification fully defined by topology","classification based on placement in class-level tree","N/A",66.78,11,0.719393365797101,"N/A"
"JW032.metabat.2",3,1686,6170,-1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",447,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52909;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52909;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_902812425.1, s__SCSIO-52909 sp902812425, 95.0, 80.27, 0.45; GCA_902806095.1, s__SCSIO-52909 sp902806095, 95.0, 80.03, 0.53; GCA_013698525.1, s__SCSIO-52909 sp013698525, 95.0, 79.78, 0.44; GCA_016781725.1, s__SCSIO-52909 sp016781725, 95.0, 79.52, 0.48; GCA_902806085.1, s__SCSIO-52909 sp902806085, 95.0, 78.93, 0.45; GCA_902805975.1, s__SCSIO-52909 sp902805975, 95.0, 78.6, 0.35; GCA_902805985.1, s__SCSIO-52909 sp902805985, 95.0, 78.58, 0.34; GCF_011492945.1, s__SCSIO-52909 sp011492945, 95.0, 78.53, 0.41; GCA_902806015.1, s__SCSIO-52909 sp902806015, 95.0, 78.45, 0.36; GCA_013815575.1, s__SCSIO-52909 sp013815575, 95.0, 78.39, 0.36",58.62,11,0.932895904958098,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW036.metabat.9",1,3,4205,1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",451,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_902806065.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp902806065","79.29","0.54","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 80.08, 0.41; GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 79.65, 0.32; GCA_902806055.1, s__SCSIO-52915 sp902806055, 95.0, 79.22, 0.38; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 78.69, 0.29; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 78.63, 0.43; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 78.3, 0.33; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 78.23, 0.34; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 77.75, 0.24; GCA_019247245.1, s__SCSIO-52915 sp019247245, 95.0, 77.32, 0.16",57.29,11,0.938872896630156,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW078.metabat.14",4,3622,8214,-1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",578,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",60.58,11,0.915279448360746,"N/A"
"JW078.metabat.3",10,11439,16007,-1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",544,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__GCA-003244245;s__","GCA_003244245.1","95.0","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__GCA-003244245;s__GCA-003244245 sp003244245","86.23","0.68","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__GCA-003244245;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_003244055.1, s__GCA-003244245 sp003244055, 95.0, 85.29, 0.68; GCA_019243635.1, s__GCA-003244245 sp019243635, 95.0, 82.21, 0.61; GCA_019240665.1, s__GCA-003244245 sp019240665, 95.0, 82.07, 0.49; GCA_019244165.1, s__GCA-003244245 sp019244165, 95.0, 80.9, 0.46; GCA_019247305.1, s__GCA-003244245 sp019247305, 95.0, 80.65, 0.52; GCA_019241525.1, s__GCA-003244245 sp019241525, 95.0, 79.4, 0.49",64.77,11,0.983755988509091,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW147.metabat.2",14,14517,19088,-1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",456,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__AC-38;s__","GCA_005883255.1","95.0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__AC-38;s__AC-38 sp005883255","78.91","0.51","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__AC-38;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",47.24,11,0.867857139177902,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW149.metabat.9",4,2200,6561,1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",546,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_902806065.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp902806065","78.71","0.52","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 79.32, 0.33; GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 79.23, 0.41; GCA_902806055.1, s__SCSIO-52915 sp902806055, 95.0, 78.57, 0.43; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 78.35, 0.46; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 78.3, 0.35; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 78.18, 0.37; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 77.97, 0.4; GCA_019247245.1, s__SCSIO-52915 sp019247245, 95.0, 77.48, 0.22; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 77.47, 0.27",70.63,11,0.938404950730604,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW151.maxbin.002_sub",3,2635,7122,1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",436,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_902806065.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp902806065","79.34","0.53","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 79.72, 0.41; GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 79.21, 0.41; GCA_902806055.1, s__SCSIO-52915 sp902806055, 95.0, 78.8, 0.43; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 78.59, 0.32; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 78.53, 0.45; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 78.32, 0.37; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 78.18, 0.34; GCA_019247245.1, s__SCSIO-52915 sp019247245, 95.0, 77.74, 0.22; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 77.53, 0.28",74.01,11,0.941677411413647,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW151.metabat.1",8,10416,14969,1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",524,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__Jatrophihabitans;s__","GCF_900129455.1","95.0","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__Jatrophihabitans;s__Jatrophihabitans endophyticus","78.15","0.36","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__Jatrophihabitans;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",53.22,11,0.915056123177189,"N/A"
