"fasta","scaffold","gene_position","start_position","end_position","strandedness","rank","kegg_id","kegg_hit","peptidase_bitScore","pfam_hits","cazy_hits","classification","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references(genome_id,species_name,radius,ANI,AF)","msa_percent","translation_table","red_value","warnings"
"JW026.metabat.7","NODE_1424_length_3995_cov_4.701015",2,1164,2447,-1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__Microcoleus;s__","GCF_014695295.1","95.0","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__Microcoleus;s__Microcoleus sp014695295","94.01","0.95","d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__Microcoleus;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCF_013179805.1, s__Microcoleus asticus, 95.0, 93.35, 0.94; GCF_000214075.1, s__Microcoleus vaginatus, 95.0, 92.89, 0.93; GCF_000317475.1, s__Microcoleus sp000317475, 95.0, 92.77, 0.96; GCF_014695175.1, s__Microcoleus sp014695175, 95.0, 92.65, 0.92; GCF_015207285.1, s__Microcoleus sp015207285, 95.0, 88.11, 0.91; GCA_004293365.1, s__Microcoleus sp004293365, 95.0, 88.07, 0.9; GCF_015207455.1, s__Microcoleus sp015207455, 95.0, 87.95, 0.89; GCF_015207505.1, s__Microcoleus sp015207505, 95.0, 87.74, 0.91; GCA_003003725.1, s__Microcoleus sp003003725, 95.0, 87.53, 0.87; GCA_013299185.1, s__Microcoleus sp013299185, 95.0, 87.53, 0.91; GCA_004292955.1, s__Microcoleus sp004292955, 95.0, 87.52, 0.92; GCA_013299165.1, s__Microcoleus sp013299165, 95.0, 87.29, 0.91; GCA_003542015.1, s__Microcoleus sp003542015, 95.0, 84.6, 0.8; GCA_012035135.1, s__Microcoleus sp012035135, 95.0, 84.03, 0.77; GCF_002412335.2, s__Microcoleus bourrellyi, 95.0, 83.43, 0.75; GCA_004292745.1, s__Microcoleus sp004292745, 95.0, 83.19, 0.78; GCA_004294385.1, s__Microcoleus sp004294385, 95.0, 83.02, 0.81; GCA_012034575.1, s__Microcoleus sp012034575, 95.0, 81.62, 0.8",41.92,11,0.991095221556541,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW076.metabat.10","NODE_1229_length_5462_cov_13.690216",6,3957,5243,1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__JACCVG01;s__","GCA_013698335.1","95.0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__JACCVG01;s__JACCVG01 sp013698335","77.91","0.34","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__JACCVG01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",51.21,11,0.861816714423727,"N/A"
"JW078.metabat.24","NODE_104_length_35829_cov_13.912814",31,31813,33084,1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__SCRE01;s__","GCA_004297935.1","95.0","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__SCRE01;s__SCRE01 sp004297935","78.26","0.35","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__SCRE01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",64.83,11,0.948910876719202,"N/A"
"JW089.metabat.2","NODE_351_length_6166_cov_6.484045",3,1437,2726,1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__","GCA_005883115.1","95.0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__VAZQ01 sp005883115","81.31","0.53","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_019237215.1, s__VAZQ01 sp019237215, 95.0, 82.66, 0.59; GCA_009377695.1, s__VAZQ01 sp009377695, 95.0, 77.54, 0.28",64.75,11,0.974045308186307,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW098.metabat.4","NODE_88_length_6980_cov_5.095018",5,3524,4813,-1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__","GCA_005883115.1","95.0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__VAZQ01 sp005883115","81.42","0.57","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_019237215.1, s__VAZQ01 sp019237215, 95.0, 82.78, 0.72; GCA_009377695.1, s__VAZQ01 sp009377695, 95.0, 77.95, 0.32",49.82,11,0.972782213380297,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW115.metabat.6","NODE_180_length_7689_cov_11.664658",3,2125,3414,1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__","GCA_005883115.1","95.0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__VAZQ01 sp005883115","81.25","0.54","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_019237215.1, s__VAZQ01 sp019237215, 95.0, 82.75, 0.57; GCA_009377695.1, s__VAZQ01 sp009377695, 95.0, 77.49, 0.28",53.44,11,0.972841618214976,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW116.metabat.4","NODE_272_length_6984_cov_11.798239",3,2262,3551,1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__","GCA_005883115.1","95.0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__VAZQ01 sp005883115","81.3","0.56","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_019237215.1, s__VAZQ01 sp019237215, 95.0, 82.69, 0.57; GCA_009377695.1, s__VAZQ01 sp009377695, 95.0, 77.45, 0.28",56.77,11,0.974204193113672,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW119.maxbin.001","NODE_2686_length_3532_cov_16.788898",1,163,1452,-1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__","GCA_005883115.1","95.0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__VAZQ01 sp005883115","81.54","0.58","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_019237215.1, s__VAZQ01 sp019237215, 95.0, 82.72, 0.69; GCA_009377695.1, s__VAZQ01 sp009377695, 95.0, 77.35, 0.33",55.94,11,0.974371730894083,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW127.metabat.7","NODE_473_length_4762_cov_6.436796",5,3035,4762,-1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__","GCA_005883115.1","95.0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__VAZQ01 sp005883115","81.82","0.59","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_019237215.1, s__VAZQ01 sp019237215, 95.0, 82.64, 0.69; GCA_009377695.1, s__VAZQ01 sp009377695, 95.0, 77.14, 0.31",48.95,11,0.971737386666403,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW134.metabat.2_sub","NODE_2775_length_4050_cov_5.564456",3,1007,2278,-1,"C","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]",NA,"Aldehyde dehydrogenase family [PF00171.24]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__JAAYBF01;s__","GCA_013811765.1","95.0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__JAAYBF01;s__JAAYBF01 sp013811765","78.49","0.39","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__JAAYBF01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_012718975.1, s__JAAYBF01 sp012718975, 95.0, 78.0, 0.31; GCA_013812005.1, s__JAAYBF01 sp013812005, 95.0, 77.32, 0.34",45,11,0.920150382102797,"N/A"
